Genus1974,Family1974
Glaucis,Trochilidae
Gliciphila,Meliphagidae
Glossopsitta,Psittacidae
Glycichaera,Meliphagidae
Glyphorynchus,Dendrocolaptidae
Gnorimopsar,Icteridae
Goethalsia,Trochilidae
Goldmania,Trochilidae
Gorsachius,Ardeidae
Goura,Columbidae
Gracula,Sturnidae
Grafisia,Sturnidae
Grallaria,Formicariidae
Grallaricula,Formicariidae
Grallina,Grallinidae
Graminicola,Sylviidae
Granatellus,Parulidae
Granatina,Ploceidae
Grandala,Turdidae
Grantiella,Meliphagidae
Graueria,Sylviidae
Graydidascalus,Psittacidae
Grus,Gruidae
Meliphaga,Meliphagidae
Gubernatrix,Fringillidae
Gubernetes,Tyrannidae
Guira,Cuculidae
Guiraca,Fringillidae
Guttera,Numididae
Gyalophylax,Furnariidae
Gygis,Laridae
Gymnobucco,Capitonidae
Gymnocichla,Formicariidae
Gymnocrex,Rallidae
Gymnoderus,Cotingidae
Gymnogenys,Accipitridae
Otus,Strigidae
Gymnogyps,Cathartidae
Gymnomyza,Meliphagidae
Gymnomystax,Icteridae
Gymnophaps,Columbidae
Gymnopithys,Formicariidae
Gymnorhina,Cracticidae
Gymnorhinus,Corvidae
Gymnostinops,Icteridae
Gypaetus,Accipitridae
Gypohierax,Accipitridae
Gypopsitta,Psittacidae
Gyps,Accipitridae
Habia,Thraupidae
Habropteryx,Rallidae
Haematoderus,Cotingidae
Haematopus,Haematopodidae
Haematortyx,Phasianidae
Haematospiza,Fringillidae
Hagedashia,Threskiornithidae
Halcyon,Alcedinidae
Haliaeetus,Accipitridae
Haliastur,Accipitridae
Phalacrocorax,Phalacrocoracidae
Halobaena,Procellariidae
Halocyptena,Hydrobatidae
Hamirostra,Accipitridae
Hapalopsittaca,Psittacidae
Hapaloptila,Bucconidae
Haplophaedia,Trochilidae
Haplospiza,Fringillidae
Harpactes,Trogonidae
Harpagus,Accipitridae
Harpia,Accipitridae
Harpiprion,Threskiornithidae
Harpyhaliaetus,Accipitridae
Harpyopsis,Accipitridae
Hartertula,Timaliidae
